Title,Status
Stiftskirche Öhringen,200
Walter Alexander Schnitzer,200
Karl Friedrich Christian Wenck,200
Konrad Schott von Schottenstein,200
Julius Rinck von Starck,200
Bendicht Straub,200
Kurt Weinmann,200
Willy Starcke,200
Christian Ernst Schöler,200
Gewidmete Gräber der Stadt Wien,200
Wilhelm Schaeffler,200
Karl-Martin Dietz,200
Richtebrief,200
Nosseni-Epitaph,200
Innung,200
Carl Georg Scheuermann,200
Österreichischer Ingenieur- und Architekten-Verein,200
Fußball im Ruhrgebiet,200
Paula von Weitershausen,200
Kaufmannschaft zu Lübeck,200
Lothar Dietz,200
Reichsverband der Deutschen Presse,200
Karl Wilhelm Stark,200
Josef Schnitzer junior,200
Kettenschifffahrt auf dem Main,200
Emons Verlag,200
Wilhelm Herz (Unternehmer),200
Nikolaus Müller (Beamter),200
Hans Stocker (Maler),200
Julie Stark,200
Horst Wernicke (Romanist),200
Heilig-Geist-Spital,200
Zanggasse,200
Erwin Starker,200
Leopold-Kunschak-Platz,200
Johann Dietz (Feldscher),200
Gottlieb Heinrich Dietz,200
Rudolstädter Vogelschießen,200
Jüdische Gemeinde Esens,200
Horst Schreiner,200
Thomas Schnitzer,200
Palais Kees,200
Bernsteinschule,200
Karl Stark (Künstler),200
Christian Scheffler (Orgelbauer),200
Edith Schreiner,200
Hugo Troendle,200
Moritz von Schoeler,200
Karl Straub (Widerstandskämpfer),200
Janez Starc,200
Anna Bergmann (Regisseurin),200
Anna Lesser-Kiessling,200
Eduard Dietz,200
Hans Ludwig Pfeiffer,200
Unterrichtsanstalt des Kunstgewerbemuseums Berlin,200
Charlotte Hofmann-Hege,200
Lorenz Wilhelm Straub,200
St. Jakobusbruderschaft Trier,200
August Wernicke,200
Manfred Straube,200
Henning Lobin,200
Max Kiesling,200
Karl Adolph Caesar,200
Ruth Schiffer,200
Albert Barth (Politiker),200
Diethelm Straube,200
Werner Bahlsen,200
Honschaft Schöller,200
Johanna Straub (Autorin),200
Nicolai von Schweder-Schreiner,200
Städtischer Vieh- und Schlachthof (Dresden),200
Nosseni-Altar,200
Ludwig Baumann (Wehrmachtsdeserteur),200
Helmuth Kiesel,200
Kunstpreis junger westen,200
Legationsrat,200
Wolfgang Scheffler (Kunsthistoriker),200
Kunststiftung Baden-Württemberg,200
Rettershof,200
Alfons Schnitzler,200
Hugo Sperber,200
Jakobusgesellschaft,200
Hans Starcke,200
Michael Veith (Chemiker),200
Matthias Dietz,200
Josef Schreiner (Theologe),200
Jan Schreiner,200
Andreas Kraus,200
Geschichte des Kirchenbaus in Ostfriesland,200
Herbert Dallmann,200
Eichendorff-Plakette,200
Wiltrud Schreiner,200
Günter Schnitzler,200
Hans von Gersdorff (Gelehrter),200
Franziska Kohlund,200
Adolf Brunner (Politiker),200
Franz Karl Lukas,200
Otto Kiesel,200
Clemens Kissel,200
Corpsschleifenträger,200
Ernst Schreiner,200
Kunstgewerbeschule Zürich,200
Simson Sperber,200
Katharina Stark,200
Heini Scheffler,200
Klaus Bahlsen,200
Graf Öderland,200
Christian Hege (Politiker),200
Martin Gottlieb Deetz,200
Matthias Starck,200
Otto Andreae,200
Max Hartmann (Richter),200
Sabine Schiffner,200
Ludwig Kießling,200
Erna Wazinski,200
Heinrich Straub,200
Bruno Schumacher,200
Johanna Straub (Politikerin),200
Fritz-Kissel-Siedlung,200
Postamt Ismaninger Straße,200
Samuel Starck,200
Heinrich Schiffers (Musiker),200
Willi Scheuermann,200
Carl Eberhardt,200
Anton Schiffer,200
"Hermann Bahlsen (Fabrikant, 1927)",200
Paul Kälberer,200
Friedrich Kießling (Historiker),200
Davistan,200
Otto Schreiner,200
Theodor Schnitzer,200
Clemens Maria Schreiner,200
Karl Wernecke,200
Schinkelpreis,200
Bernie Feit,200
Konrad Straub,200
Jakob Ritzmann,200
Schulprogramm (historisch),200
Römische Villa Haselburg,200
Max Spindler,200
Rudolf Wilhelm Schoeller,200
Richard von Schnitzler,200
Schöne Eiche (Harreshausen),200
