"p","lde","len"
"http://dbpedia.org/ontology/discipline","Disziplin","discipline"
"http://dbpedia.org/ontology/throwingSide",,"throwing side"
"http://dbpedia.org/ontology/currentPartner","aktueller Partner","current partner"
"http://dbpedia.org/ontology/militaryRank","militärischer Rang","military rank"
"http://dbpedia.org/ontology/vicePresident","Vizepräsident","vice president"
"http://dbpedia.org/ontology/mother","Mutter","mother"
"http://dbpedia.org/ontology/event","Veranstaltung","event"
"http://dbpedia.org/ontology/bestFinish","beste Platzierung im Ranglistenturnier","best ranking finish"
"http://dbpedia.org/ontology/centuryBreaks","Century Breaks","century breaks"
"http://dbpedia.org/ontology/highestBreak","Höchstes Break","highest break"
"http://dbpedia.org/ontology/gross",,"gross ($)"
"http://dbpedia.org/ontology/sportCountry","Sportnation","sport country"
"http://dbpedia.org/ontology/highestRank","höchster Ranglistenplatz","highest rank"
"http://dbpedia.org/ontology/language","Sprache","language"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/primeMinister","Premierminister","prime minister"
"http://dbpedia.org/ontology/university","Universität","university"
"http://dbpedia.org/ontology/formerPartner","ehemaliger Partner","former partner"
"http://dbpedia.org/ontology/draft","Entwurf","draft"
"http://dbpedia.org/ontology/president","Präsident","president"
"http://dbpedia.org/ontology/motto","Motto","motto"
"http://dbpedia.org/ontology/status","Status","status"
"http://dbpedia.org/ontology/coach","Trainer","coach"
"http://dbpedia.org/ontology/choreographer","Choreograph","choreographer"
"http://dbpedia.org/ontology/formerCoach","Ex-Trainer","former coach"
"http://dbpedia.org/ontology/formerChoreographer","ehemaliger Choreograph","former choreographer"
"http://dbpedia.org/ontology/hallOfFame","Ruhmeshalle","hall of fame"
"http://dbpedia.org/ontology/wins","Siege","wins"
"http://dbpedia.org/ontology/beatifiedDate",,"beatified date"
"http://dbpedia.org/ontology/canonizedDate",,"canonized date"
"http://dbpedia.org/ontology/beatifiedBy",,"beatified by"
"http://dbpedia.org/ontology/beatifiedPlace",,"beatified place"
"http://dbpedia.org/ontology/canonizedBy",,"canonized by"
"http://dbpedia.org/ontology/canonizedPlace",,"canonized place"
"http://dbpedia.org/ontology/veneratedIn",,"venerated in"
"http://dbpedia.org/ontology/firstRace","erstes Rennen","first race"
"http://dbpedia.org/ontology/lastRace","letztes Rennen","last race"
"http://dbpedia.org/ontology/championships","gewonnene Title","championships"
"http://dbpedia.org/ontology/fastestLap","schnellste Runde","fastest lap"
"http://dbpedia.org/ontology/podiums","Podestplätze","podiums"
"http://dbpedia.org/ontology/poles","Pole","poles"
"http://dbpedia.org/ontology/races","Rennen","races"
"http://dbpedia.org/ontology/otherWins","Sonstige Siege","other wins"
"http://dbpedia.org/ontology/rankingWins","Siege in Ranglistenturnieren","ranking wins"
"http://dbpedia.org/ontology/board",,"board"
"http://dbpedia.org/ontology/draftLeague",,"draft league"
"http://dbpedia.org/ontology/partner","Partner","partner"
"http://dbpedia.org/ontology/timeInSpace","Gesamtzeit welche die Person im Weltraum verbracht hat (s)","total time person has spent in space (s)"
"http://dbpedia.org/ontology/mission","Mission","mission"
"http://dbpedia.org/ontology/selection","Auswahl","selection"
"http://dbpedia.org/ontology/Astronaut/timeInSpace","Gesamtzeit welche die Person im Weltraum verbracht hat (m)","total time person has spent in space (m)"
"http://dbpedia.org/ontology/prospectLeague",,"prospect league"
"http://dbpedia.org/ontology/winsAtMajors",,"wins at majors"
"http://dbpedia.org/ontology/winsInEurope","Siege in Europa","wins in Europe"
"http://dbpedia.org/ontology/winsAtNWIDE",,"wins at NWIDE"
"http://dbpedia.org/ontology/prospectTeam",,"prospect team"
